id;data_pagamento;valor;plano_id;qtde_meses_pagos
0;12/05/2018;R$ 300,00;1;3
0;12/05/2019;R$ 600,00;1;6
0;11/02/2017;R$ 300,00;1;3
0;11/12/2017;R$ 100,00;1;1
0;11/06/2017;R$ 600,00;1;6
0;10/11/2016;R$ 300,00;1;3
0;11/01/2019;R$ 300,00;1;3
0;09/02/2018;R$ 300,00;1;3
0;09/10/2018;R$ 300,00;1;3
0;11/01/2018;R$ 100,00;1;1
0;11/09/2016;R$ 100,00;1;1
0;10/09/2018;R$ 100,00;1;1
0;12/04/2019;R$ 100,00;1;1
0;10/05/2017;R$ 100,00;1;1
0;11/10/2016;R$ 100,00;1;1
1;25/05/2019;R$ 100,00;1;1
1;26/02/2019;R$ 300,00;1;3
1;27/05/2017;R$ 300,00;1;3
1;27/07/2018;R$ 300,00;1;3
1;27/04/2018;R$ 100,00;1;1
1;27/08/2017;R$ 600,00;1;6
1;27/10/2018;R$ 100,00;1;1
1;27/07/2019;R$ 100,00;1;1
1;27/02/2018;R$ 100,00;1;1
1;27/05/2018;R$ 100,00;1;1
1;27/11/2018;R$ 300,00;1;3
1;27/06/2018;R$ 100,00;1;1
1;27/02/2017;R$ 300,00;1;3
1;27/11/2016;R$ 300,00;1;3
1;27/09/2016;R$ 100,00;1;1
1;27/10/2016;R$ 100,00;1;1
1;27/06/2019;R$ 100,00;1;1
1;27/03/2018;R$ 100,00;1;1
2;05/06/2018;R$ 750,00;3;3
2;06/05/2017;R$ 1500,00;3;6
2;05/05/2019;R$ 250,00;3;1
2;07/09/2018;R$ 1500,00;3;6
2;07/12/2016;R$ 750,00;3;3
2;08/12/2017;R$ 750,00;3;3
2;06/04/2019;R$ 250,00;3;1
2;06/11/2016;R$ 250,00;3;1
2;07/04/2017;R$ 250,00;3;1
2;06/03/2017;R$ 250,00;3;1
2;06/09/2016;R$ 250,00;3;1
2;05/03/2018;R$ 250,00;3;1
2;06/06/2019;R$ 750,00;3;3
2;06/10/2016;R$ 250,00;3;1
2;05/04/2018;R$ 250,00;3;1
2;06/03/2019;R$ 250,00;3;1
2;06/11/2017;R$ 250,00;3;1
3;18/04/2017;R$ 185,00;2;1
3;18/11/2016;R$ 555,00;2;3
3;17/01/2018;R$ 1110,00;2;6
3;18/03/2017;R$ 185,00;2;1
3;17/10/2017;R$ 185,00;2;1
3;17/12/2018;R$ 185,00;2;1
3;18/02/2017;R$ 185,00;2;1
3;19/07/2017;R$ 185,00;2;1
3;18/02/2019;R$ 185,00;2;1
3;18/07/2018;R$ 185,00;2;1
3;17/03/2019;R$ 555,00;2;3
3;19/08/2018;R$ 185,00;2;1
3;18/06/2019;R$ 185,00;2;1
3;18/09/2018;R$ 185,00;2;1
3;18/11/2017;R$ 185,00;2;1
3;19/07/2019;R$ 555,00;2;3
3;18/09/2017;R$ 185,00;2;1
3;17/08/2017;R$ 185,00;2;1
3;18/10/2018;R$ 185,00;2;1
3;18/05/2017;R$ 185,00;2;1
3;19/06/2017;R$ 185,00;2;1
3;18/11/2018;R$ 185,00;2;1
3;18/10/2016;R$ 185,00;2;1
4;07/06/2018;R$ 399,00;4;1
4;07/11/2017;R$ 1197,00;4;3
4;07/11/2018;R$ 399,00;4;1
4;06/02/2019;R$ 2394,00;4;6
4;07/05/2018;R$ 399,00;4;1
4;06/01/2017;R$ 1197,00;4;3
4;07/08/2018;R$ 1197,00;4;3
4;07/08/2017;R$ 399,00;4;1
4;05/02/2018;R$ 1197,00;4;3
4;06/04/2017;R$ 1197,00;4;3
4;05/12/2018;R$ 399,00;4;1
4;06/07/2018;R$ 399,00;4;1
4;07/01/2019;R$ 399,00;4;1
4;07/10/2017;R$ 399,00;4;1
4;06/09/2016;R$ 399,00;4;1
4;06/10/2016;R$ 399,00;4;1
4;07/12/2016;R$ 399,00;4;1
4;07/09/2017;R$ 399,00;4;1
4;05/07/2017;R$ 399,00;4;1
4;05/11/2016;R$ 399,00;4;1
5;25/03/2017;R$ 600,00;1;6
5;26/02/2017;R$ 100,00;1;1
5;26/03/2018;R$ 600,00;1;6
5;26/11/2016;R$ 100,00;1;1
5;25/04/2019;R$ 100,00;1;1
5;25/05/2019;R$ 100,00;1;1
5;26/11/2017;R$ 100,00;1;1
5;27/10/2018;R$ 600,00;1;6
5;27/12/2017;R$ 100,00;1;1
5;27/09/2018;R$ 100,00;1;1
5;26/06/2019;R$ 100,00;1;1
5;27/01/2018;R$ 100,00;1;1
5;27/09/2017;R$ 100,00;1;1
5;25/09/2016;R$ 100,00;1;1
5;24/10/2017;R$ 100,00;1;1
5;24/02/2018;R$ 100,00;1;1
5;24/01/2017;R$ 100,00;1;1
5;25/12/2016;R$ 100,00;1;1
5;24/07/2019;R$ 100,00;1;1
5;26/10/2016;R$ 100,00;1;1
6;13/01/2017;R$ 185,00;2;1
6;14/01/2018;R$ 555,00;2;3
6;13/09/2017;R$ 555,00;2;3
6;14/03/2019;R$ 555,00;2;3
6;12/10/2018;R$ 185,00;2;1
6;12/07/2019;R$ 1110,00;2;6
6;14/05/2017;R$ 555,00;2;3
6;12/06/2019;R$ 185,00;2;1
6;14/04/2018;R$ 1110,00;2;6
6;13/09/2016;R$ 185,00;2;1
6;14/10/2016;R$ 185,00;2;1
6;14/02/2017;R$ 555,00;2;3
6;12/12/2018;R$ 555,00;2;3
6;14/11/2016;R$ 185,00;2;1
6;14/12/2016;R$ 185,00;2;1
6;12/08/2017;R$ 185,00;2;1
6;12/11/2018;R$ 185,00;2;1
7;08/11/2017;R$ 600,00;1;6
7;08/08/2018;R$ 100,00;1;1
7;07/02/2019;R$ 600,00;1;6
7;08/09/2018;R$ 300,00;1;3
7;07/07/2017;R$ 100,00;1;1
7;07/08/2017;R$ 300,00;1;3
7;06/02/2017;R$ 300,00;1;3
7;06/01/2017;R$ 100,00;1;1
7;06/05/2018;R$ 300,00;1;3
7;06/01/2019;R$ 100,00;1;1
7;07/05/2017;R$ 100,00;1;1
7;07/09/2016;R$ 100,00;1;1
7;06/12/2016;R$ 100,00;1;1
7;08/12/2018;R$ 100,00;1;1
7;11/10/2016;R$ 399,00;4;1
8;06/03/2018;R$ 2394,00;4;6
8;06/02/2017;R$ 399,00;4;1
8;07/03/2017;R$ 2394,00;4;6
8;07/02/2019;R$ 1197,00;4;3
8;05/09/2017;R$ 399,00;4;1
8;05/07/2019;R$ 2394,00;4;6
8;06/12/2018;R$ 399,00;4;1
8;06/02/2018;R$ 399,00;4;1
8;05/10/2017;R$ 1197,00;4;3
8;06/06/2019;R$ 399,00;4;1
8;05/11/2018;R$ 399,00;4;1
8;06/01/2018;R$ 399,00;4;1
8;06/09/2018;R$ 399,00;4;1
8;06/11/2016;R$ 1197,00;4;3
8;17/10/2016;R$ 399,00;4;1
8;16/05/2019;R$ 399,00;4;1
8;18/01/2019;R$ 399,00;4;1
9;08/05/2017;R$ 1500,00;3;6
9;09/01/2019;R$ 1500,00;3;6
9;07/12/2017;R$ 1500,00;3;6
9;07/07/2019;R$ 250,00;3;1
9;09/11/2016;R$ 750,00;3;3
9;09/11/2018;R$ 250,00;3;1
9;08/08/2018;R$ 750,00;3;3
9;09/02/2017;R$ 250,00;3;1
9;08/10/2016;R$ 250,00;3;1
9;07/07/2018;R$ 250,00;3;1
9;08/12/2018;R$ 250,00;3;1
9;08/09/2016;R$ 250,00;3;1
9;07/11/2017;R$ 250,00;3;1
10;18/11/2018;R$ 1197,00;4;3
10;19/05/2017;R$ 399,00;4;1
10;19/03/2019;R$ 1197,00;4;3
10;19/06/2018;R$ 399,00;4;1
10;20/06/2019;R$ 399,00;4;1
10;20/07/2017;R$ 1197,00;4;3
10;18/02/2017;R$ 1197,00;4;3
10;19/03/2018;R$ 1197,00;4;3
10;18/09/2016;R$ 399,00;4;1
10;18/01/2017;R$ 399,00;4;1
10;18/10/2018;R$ 399,00;4;1
10;19/11/2017;R$ 399,00;4;1
10;19/06/2017;R$ 399,00;4;1
10;19/02/2019;R$ 399,00;4;1
10;18/01/2018;R$ 399,00;4;1
10;17/07/2019;R$ 399,00;4;1
10;17/12/2016;R$ 399,00;4;1
10;18/10/2016;R$ 399,00;4;1
10;17/09/2018;R$ 399,00;4;1
10;28/10/2017;R$ 100,00;1;1
10;19/07/2018;R$ 399,00;4;1
10;17/08/2018;R$ 399,00;4;1
11;23/07/2019;R$ 100,00;1;1
12;06/11/2016;R$ 1197,00;4;3
12;07/02/2017;R$ 399,00;4;1
12;07/11/2018;R$ 2394,00;4;6
12;07/07/2017;R$ 1197,00;4;3
12;06/10/2017;R$ 1197,00;4;3
12;06/02/2018;R$ 399,00;4;1
12;06/06/2018;R$ 399,00;4;1
12;05/05/2017;R$ 399,00;4;1
12;07/07/2018;R$ 399,00;4;1
12;05/05/2019;R$ 1197,00;4;3
12;07/03/2018;R$ 399,00;4;1
12;06/09/2016;R$ 399,00;4;1
12;07/01/2018;R$ 399,00;4;1
12;07/04/2017;R$ 399,00;4;1
12;07/03/2017;R$ 399,00;4;1
12;05/08/2018;R$ 1197,00;4;3
12;05/06/2017;R$ 399,00;4;1
12;05/10/2016;R$ 399,00;4;1
12;05/05/2018;R$ 399,00;4;1
13;17/07/2017;R$ 399,00;4;1
13;16/04/2019;R$ 399,00;4;1
13;16/08/2017;R$ 399,00;4;1
13;16/10/2017;R$ 2394,00;4;6
13;18/06/2018;R$ 1197,00;4;3
13;18/12/2018;R$ 1197,00;4;3
13;17/02/2017;R$ 399,00;4;1
13;18/09/2018;R$ 1197,00;4;3
13;16/06/2019;R$ 1197,00;4;3
13;18/03/2017;R$ 399,00;4;1
13;17/04/2018;R$ 399,00;4;1
13;17/09/2016;R$ 399,00;4;1
13;18/06/2017;R$ 399,00;4;1
13;17/04/2017;R$ 399,00;4;1
